phi,theta,Value,image
3,3,6,prs_images/12244.vti_21.prs.png
3,4,6,prs_images/12244.vti_22.prs.png
3,5,6,prs_images/12244.vti_23.prs.png
0,0,7,prs_images/13306.vti_0.prs.png
0,1,7,prs_images/13306.vti_1.prs.png
0,2,7,prs_images/13306.vti_2.prs.png
0,3,7,prs_images/13306.vti_3.prs.png
0,4,7,prs_images/13306.vti_4.prs.png
0,5,7,prs_images/13306.vti_5.prs.png
1,0,7,prs_images/13306.vti_6.prs.png
1,1,7,prs_images/13306.vti_7.prs.png
1,2,7,prs_images/13306.vti_8.prs.png
1,3,7,prs_images/13306.vti_9.prs.png
1,4,7,prs_images/13306.vti_10.prs.png
1,5,7,prs_images/13306.vti_11.prs.png
2,0,7,prs_images/13306.vti_12.prs.png
2,1,7,prs_images/13306.vti_13.prs.png
2,2,7,prs_images/13306.vti_14.prs.png
2,3,7,prs_images/13306.vti_15.prs.png
2,4,7,prs_images/13306.vti_16.prs.png
2,5,7,prs_images/13306.vti_17.prs.png
3,0,7,prs_images/13306.vti_18.prs.png
3,1,7,prs_images/13306.vti_19.prs.png
3,2,7,prs_images/13306.vti_20.prs.png
3,3,7,prs_images/13306.vti_21.prs.png
3,4,7,prs_images/13306.vti_22.prs.png
3,5,7,prs_images/13306.vti_23.prs.png
0,0,8,prs_images/15159.vti_0.prs.png
0,1,8,prs_images/15159.vti_1.prs.png
0,2,8,prs_images/15159.vti_2.prs.png
0,3,8,prs_images/15159.vti_3.prs.png
0,4,8,prs_images/15159.vti_4.prs.png
0,5,8,prs_images/15159.vti_5.prs.png
1,0,8,prs_images/15159.vti_6.prs.png
1,1,8,prs_images/15159.vti_7.prs.png
1,2,8,prs_images/15159.vti_8.prs.png
1,3,8,prs_images/15159.vti_9.prs.png
1,4,8,prs_images/15159.vti_10.prs.png
1,5,8,prs_images/15159.vti_11.prs.png
2,0,8,prs_images/15159.vti_12.prs.png
2,1,8,prs_images/15159.vti_13.prs.png
2,2,8,prs_images/15159.vti_14.prs.png
2,3,8,prs_images/15159.vti_15.prs.png
2,4,8,prs_images/15159.vti_16.prs.png
2,5,8,prs_images/15159.vti_17.prs.png
3,0,8,prs_images/15159.vti_18.prs.png
3,1,8,prs_images/15159.vti_19.prs.png
3,2,8,prs_images/15159.vti_20.prs.png
3,3,8,prs_images/15159.vti_21.prs.png
3,4,8,prs_images/15159.vti_22.prs.png
3,5,8,prs_images/15159.vti_23.prs.png
0,0,9,prs_images/16898.vti_0.prs.png
0,1,9,prs_images/16898.vti_1.prs.png
0,2,9,prs_images/16898.vti_2.prs.png
0,3,9,prs_images/16898.vti_3.prs.png
0,4,9,prs_images/16898.vti_4.prs.png
0,5,9,prs_images/16898.vti_5.prs.png
1,0,9,prs_images/16898.vti_6.prs.png
1,1,9,prs_images/16898.vti_7.prs.png
1,2,9,prs_images/16898.vti_8.prs.png
1,3,9,prs_images/16898.vti_9.prs.png
1,4,9,prs_images/16898.vti_10.prs.png
1,5,9,prs_images/16898.vti_11.prs.png
2,0,9,prs_images/16898.vti_12.prs.png
2,1,9,prs_images/16898.vti_13.prs.png
2,2,9,prs_images/16898.vti_14.prs.png
2,3,9,prs_images/16898.vti_15.prs.png
2,4,9,prs_images/16898.vti_16.prs.png
2,5,9,prs_images/16898.vti_17.prs.png
3,0,9,prs_images/16898.vti_18.prs.png
3,1,9,prs_images/16898.vti_19.prs.png
3,2,9,prs_images/16898.vti_20.prs.png
3,3,9,prs_images/16898.vti_21.prs.png
