phi,theta,Value,image
3,3,8,tev_images/15159.vti_21.png
3,4,8,tev_images/15159.vti_22.png
3,5,8,tev_images/15159.vti_23.png
0,0,9,tev_images/16898.vti_0.png
0,1,9,tev_images/16898.vti_1.png
0,2,9,tev_images/16898.vti_2.png
0,3,9,tev_images/16898.vti_3.png
0,4,9,tev_images/16898.vti_4.png
0,5,9,tev_images/16898.vti_5.png
1,0,9,tev_images/16898.vti_6.png
1,1,9,tev_images/16898.vti_7.png
1,2,9,tev_images/16898.vti_8.png
1,3,9,tev_images/16898.vti_9.png
1,4,9,tev_images/16898.vti_10.png
1,5,9,tev_images/16898.vti_11.png
2,0,9,tev_images/16898.vti_12.png
2,1,9,tev_images/16898.vti_13.png
2,2,9,tev_images/16898.vti_14.png
2,3,9,tev_images/16898.vti_15.png
2,4,9,tev_images/16898.vti_16.png
2,5,9,tev_images/16898.vti_17.png
3,0,9,tev_images/16898.vti_18.png
3,1,9,tev_images/16898.vti_19.png
3,2,9,tev_images/16898.vti_20.png
3,3,9,tev_images/16898.vti_21.png
3,4,9,tev_images/16898.vti_22.png
3,5,9,tev_images/16898.vti_23.png
0,0,10,tev_images/17954.vti_0.png
0,1,10,tev_images/17954.vti_1.png
0,2,10,tev_images/17954.vti_2.png
0,3,10,tev_images/17954.vti_3.png
0,4,10,tev_images/17954.vti_4.png
0,5,10,tev_images/17954.vti_5.png
1,0,10,tev_images/17954.vti_6.png
1,1,10,tev_images/17954.vti_7.png
1,2,10,tev_images/17954.vti_8.png
1,3,10,tev_images/17954.vti_9.png
1,4,10,tev_images/17954.vti_10.png
1,5,10,tev_images/17954.vti_11.png
2,0,10,tev_images/17954.vti_12.png
2,1,10,tev_images/17954.vti_13.png
2,2,10,tev_images/17954.vti_14.png
2,3,10,tev_images/17954.vti_15.png
2,4,10,tev_images/17954.vti_16.png
2,5,10,tev_images/17954.vti_17.png
3,0,10,tev_images/17954.vti_18.png
3,1,10,tev_images/17954.vti_19.png
3,2,10,tev_images/17954.vti_20.png
3,3,10,tev_images/17954.vti_21.png
3,4,10,tev_images/17954.vti_22.png
3,5,10,tev_images/17954.vti_23.png
0,0,11,tev_images/18741.vti_0.png
0,1,11,tev_images/18741.vti_1.png
0,2,11,tev_images/18741.vti_2.png
0,3,11,tev_images/18741.vti_3.png
0,4,11,tev_images/18741.vti_4.png
0,5,11,tev_images/18741.vti_5.png
1,0,11,tev_images/18741.vti_6.png
1,1,11,tev_images/18741.vti_7.png
1,2,11,tev_images/18741.vti_8.png
1,3,11,tev_images/18741.vti_9.png
1,4,11,tev_images/18741.vti_10.png
